exoplanetLabel,image,constellationLabel
AB Pictoris b,http://commons.wikimedia.org/wiki/Special:FilePath/AB%20Pictoris%20B.png,Peintre
KOI-172.02,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-69c-%20Super-Venus.jpg,Cygne
Kepler-19c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler19%20David%20Aguilar.jpg,Lyre
Kepler-9d,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-9d.PNG,Lyre
Kepler-19b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-19%20b.jpg,Lyre
Kepler-11d,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-11d%20%28Exoplanete%29.jpg,Cygne
Epsilon Reticuli b,http://commons.wikimedia.org/wiki/Special:FilePath/EpsilonRetb.jpg,Réticule
Kepler-10c,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-10%20star%20system.jpg,Dragon
HD 10180 f,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2010180%20f.jpg,Hydre mâle
HIP 78530 b,http://commons.wikimedia.org/wiki/Special:FilePath/HIP%2078530%20in%20Celestia.png,Scorpion
HW Virginis b,http://commons.wikimedia.org/wiki/Special:FilePath/HW%20Virginis.png,Vierge
TOI 421b,http://commons.wikimedia.org/wiki/Special:FilePath/Exoplanet%20TOI-421%20b%20and%20Its%20Star%20%28Illustration%29%20%282021-054-01FMJ83DBDR1F648FP5DYG0PZT%29.png,Lièvre
K2-315b,http://commons.wikimedia.org/wiki/Special:FilePath/Daedalus%20Spaceship%20concept.jpg,Balance
PDS 70c,http://commons.wikimedia.org/wiki/Special:FilePath/PDS%2070%20closeup%20-%20eso2111a.jpg,Centaure
Gliese 486 b,http://commons.wikimedia.org/wiki/Special:FilePath/Gliese486b%20HotSuperEarth.png,Vierge
Kepler-1156b,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-1156%20b%20Planet.jpg,Cygne
Kepler-1156b,http://commons.wikimedia.org/wiki/Special:FilePath/Star%20Planet%20Kepler-1156%20analog.jpg,Cygne
Kepler-1625b,http://commons.wikimedia.org/wiki/Special:FilePath/Exomoon%20Kepler-1625b-i%20orbiting%20its%20planet%20%28artist%E2%80%99s%20impression%29.tif,Cygne
LHS 1140 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20the%20super-Earth%20exoplanet%20LHS%201140b.jpg,Baleine
OGLE-2016-BLG-1195Lb,http://commons.wikimedia.org/wiki/Special:FilePath/PIA21430-Exoplanet-OGLE2016BLG1195Lb-20170426.jpg,Scorpion
WASP-121 b,http://commons.wikimedia.org/wiki/Special:FilePath/WASP-121b%2001.jpg,Poupe
NGTS-1b,http://commons.wikimedia.org/wiki/Special:FilePath/NGTS-1%20b%20illustration.jpg,Colombe
OGLE-2016-BLG-1190Lb,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20conception%20of%20a%20brown%20dwarf%20like%202MASSJ22282889-431026.jpg,Sagittaire
Ross 128 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20impression%20of%20the%20planet%20Ross%20128%20b.jpg,Vierge
Kepler-90 i,http://commons.wikimedia.org/wiki/Special:FilePath/Kepler-90%20MultiExoplanet%20System%20-%2020171214.jpg,Dragon
WASP-39b,http://commons.wikimedia.org/wiki/Special:FilePath/Exoplanet-WASP-39b-20180301.jpg,Vierge
WASP-107 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20WASP-107b.jpg,Vierge
K2-141 b,http://commons.wikimedia.org/wiki/Special:FilePath/K2-141b.jpg,Poissons
WASP-31b,http://commons.wikimedia.org/wiki/Special:FilePath/HotJupiter-Exoplanet-WASP-31b.jpg,Coupe
HATS-36b,http://commons.wikimedia.org/wiki/Special:FilePath/HATS-36%20b%20infrared%20spectographic%2C%202018.png,Sagittaire
K2-288Bb,http://commons.wikimedia.org/wiki/Special:FilePath/PIA23004%20K2-288Bb%20%28Artist%27s%20Illustration%29.jpg,Taureau
L 98-59 b,http://commons.wikimedia.org/wiki/Special:FilePath/L98-59b.png,Poisson volant
Isagel,http://commons.wikimedia.org/wiki/Special:FilePath/Artistic%20impression%20of%20HD102956.png,Grande Ourse
L 98-59 d,http://commons.wikimedia.org/wiki/Special:FilePath/L98-59d.png,Poisson volant
GJ 357 d,http://commons.wikimedia.org/wiki/Special:FilePath/GJ%20357%20d.jpg,Hydre
HR 5183 b,http://commons.wikimedia.org/wiki/Special:FilePath/HR%205183%20b.png,Vierge
Teegarden c,http://commons.wikimedia.org/wiki/Special:FilePath/Teegarden%27s%20star%20proper%20motion.gif,Bélier
Gliese 357 b,http://commons.wikimedia.org/wiki/Special:FilePath/GJ%20357%20system.png,Hydre
Teegarden b,http://commons.wikimedia.org/wiki/Special:FilePath/Teegarden%27s%20star%20proper%20motion.gif,Bélier
L 98-59 c,http://commons.wikimedia.org/wiki/Special:FilePath/L98-59c.png,Poisson volant
TOI-1231b,http://commons.wikimedia.org/wiki/Special:FilePath/TOI-1231%20b.jpg,Voiles
TOI 700 e,http://commons.wikimedia.org/wiki/Special:FilePath/TOI700e%20art.jpg,Dorade
Kepler-288b,http://commons.wikimedia.org/wiki/Special:FilePath/PIA23004%20K2-288Bb%20%28Artist%27s%20Illustration%29.jpg,Lyre
TRAPPIST-1 e,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1e%20artist%20impression%202018.png,Verseau
TRAPPIST-1f,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1f%20artist%20impression%202018.png,Verseau
TRAPPIST-1g,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1g%20artist%20impression%202018.png,Verseau
TRAPPIST-1h,http://commons.wikimedia.org/wiki/Special:FilePath/TRAPPIST-1h%20artist%20impression%202018.png,Verseau
Krotoa,http://commons.wikimedia.org/wiki/Special:FilePath/Krotoa%20versus%20Jupiter%20size.jpg,Dorade
Krotoa,http://commons.wikimedia.org/wiki/Special:FilePath/Krotoa%20and%20Naledi.jpg,Dorade
TOI 700 d,http://commons.wikimedia.org/wiki/Special:FilePath/PIA23408-Exoplanet-TOI700d-20200106.jpg,Dorade
TOI 1338 b,http://commons.wikimedia.org/wiki/Special:FilePath/TOI%201338b.png,Peintre
WTS-1b,http://commons.wikimedia.org/wiki/Special:FilePath/WTS-1.jpg,Cygne
HAT-P-39b,http://commons.wikimedia.org/wiki/Special:FilePath/WASP-39%20b.jpg,Gémeaux
HAT-P-28b,http://commons.wikimedia.org/wiki/Special:FilePath/Hat-p-28%20b.jpeg,Andromède
Gliese 1061 c,http://commons.wikimedia.org/wiki/Special:FilePath/Image%204552-Wolf-1061c.jpg,Horloge
Gliese 1061 d,http://commons.wikimedia.org/wiki/Special:FilePath/Diagram%20of%20the%20Gliese%201061%20Star%20System.png,Horloge
PDS 70b,http://commons.wikimedia.org/wiki/Special:FilePath/PDS%2070%20-%20eso2111b%20%28cropped%29.jpg,Centaure
PDS 70b,http://commons.wikimedia.org/wiki/Special:FilePath/PDS%2070b.jpg,Centaure
DH Tauri b,http://commons.wikimedia.org/wiki/Special:FilePath/Largest%20planet.png,Taureau
HIP 65426 b,http://commons.wikimedia.org/wiki/Special:FilePath/The%20unusual%20exoplanet%20HIP%2065426b%20%E2%80%94%20SPHERE%27s%20first.jpg,Centaure
HATS-14b,http://commons.wikimedia.org/wiki/Special:FilePath/HAT-P-14%20System%20in%20Celestia.jpg,Capricorne
WASP-76 b,http://commons.wikimedia.org/wiki/Special:FilePath/WASP-76%20b%20%282020%29.png,Poissons
WASP-76 b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%E2%80%99s%20impression%20of%20the%20night%20side%20of%20WASP-76b.jpg,Poissons
WASP-96b,http://commons.wikimedia.org/wiki/Special:FilePath/WASP-96b%20spectrum%20%28JWST%29%20mres.png,Phénix
WASP-96b,http://commons.wikimedia.org/wiki/Special:FilePath/Exoplanet%20WASP-96%20b%20%28NIRISS%20Transit%20Light%20Curve%29.png,Phénix
KELT-9b,http://commons.wikimedia.org/wiki/Special:FilePath/Artist%27s%20impression%20of%20KELT-9b%20orbiting%20KELT-9.jpg,Cygne
HD 20367 b,http://commons.wikimedia.org/wiki/Special:FilePath/HD%2020367%20b.jpg,Persée
